job_id,isic_1digit,isic_2digit,isic_3digit,isic_4digit,isic_1digit_confidence,isic_2digit_confidence,isic_3digit_confidence,isic_4digit_confidence,isco_1digit,isco_2digit,isco_3digit,isco_4digit,isco_1digit_confidence,isco_2digit_confidence,isco_3digit_confidence,isco_4digit_confidence,classification_summary
25364,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.98,0.95,0.9,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.97,0.95,0.93,
25026,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.99,0.98,0.97,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.98,0.97,0.95,0.94,
25220,I - Accommodation and food service activities,56 - Food and beverage service activities,561 - Restaurants and mobile food service activities,5610 - Restaurants and mobile food service activities,0.99,0.98,0.96,0.94,1 - Managers,"14 - Hospitality, retail and other services managers",141 - Hotel and restaurant managers,1412 - Restaurant managers,0.99,0.97,0.96,0.95,
24987,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.98,0.95,0.95,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.98,0.97,0.96,
25258,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,452 - Maintenance and repair of motor vehicles,4520 - Maintenance and repair of motor vehicles,0.98,0.96,0.94,0.92,7 - Craft and related trades workers,"72 - Metal, machinery and related trades workers",723 - Motor vehicle mechanics and repairers,7231 - Motor vehicle mechanics,0.98,0.95,0.93,0.88,
25180,F - Construction,41 - Construction of buildings,411 - Construction of buildings,4110 - Construction of buildings,0.95,0.9,0.9,0.85,4 - Clerical support workers,41 - General and keyboard clerks,411 - General office clerks,4110 - General office clerks,0.9,0.85,0.8,0.7,
25297,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",64.1 - Monetary intermediation,6419 - Other monetary intermediation,0.98,0.96,0.92,0.88,1 - Managers,12 - Administrative and commercial managers,121 - Business services and administration managers,1211 - Finance managers,0.99,0.97,0.95,0.93,
25071,P - Education,85 - Education,852 - Secondary education,8520 - Secondary education,0.99,0.98,0.97,0.95,2 - Professionals,23 - Teaching professionals,232 - Secondary school teachers,2320 - Secondary school teachers,0.99,0.98,0.97,0.95,
24972,F - Construction,42 - Civil engineering,421 - Construction of roads and railways,4210 - Construction of roads and railways,0.95,0.95,0.75,0.65,2 - Professionals,21 - Science and engineering professionals,214 - Engineering professionals,2141 - Civil engineers,0.95,0.9,0.9,0.95,
24188,H - Transportation and storage,49 - Land transport and transport via pipelines,492 - Freight transport by road,4920 - Freight transport by road,0.98,0.97,0.9,0.85,8 - Plant and machine operators and assemblers,83 - Drivers and mobile plant operators,833 - Heavy truck and bus drivers,,0.95,0.95,0.9,0.2,
24798,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,452 - Maintenance and repair of motor vehicles,4520 - Maintenance and repair of motor vehicles,0.95,0.97,0.98,0.98,7 - Craft and related trades workers,"72 - Metal, machinery and related trades workers",723 - Motor vehicle mechanics and repairers,7231 - Motor vehicle mechanics and repairers,0.95,0.9,0.92,0.88,
24937,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.98,0.96,0.95,0.95,3 - Technicians and associate professionals,31 - Science and engineering technicians,311 - Physical and engineering science technicians,3119 - Physical and engineering science technicians not elsewhere classified,0.95,0.9,0.85,0.7,
25361,F - Construction,42 - Civil engineering,429 - Construction of other civil engineering projects,4290 - Construction of other civil engineering projects,0.95,0.95,0.9,0.85,2 - Professionals,24 - Business and administration professionals,241 - Accountants and auditors (minor group),2411 - Accountants,0.95,0.9,0.9,0.85,
25228,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.98,0.95,0.93,0.92,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.96,0.92,0.88,0.85,
25098,F - Construction,42 - Civil engineering,429 - Construction of other civil engineering projects,4290 - Construction of other civil engineering projects n.e.c.,0.95,0.7,0.6,0.5,2 - Professionals,24 - Business and administration professionals,241 - Finance and accounting professionals,2411 - Accountants,0.95,0.9,0.9,0.9,
25307,I - Accommodation and food service activities,55 - Accommodation,551 - Short term accommodation activities,5510 - Hotels and similar accommodation,0.95,0.95,0.9,0.9,3 - Technicians and associate professionals,35 - Information and communications technicians,351 - Information and communications technicians,3512 - Computer network and systems technicians,0.85,0.9,0.9,0.8,
25061,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles",467 - Other wholesale,"4671 - Wholesale of solid, liquid and gaseous fuels and related products",0.9,0.9,0.9,0.95,8 - Plant and machine operators and assemblers,83 - Drivers and mobile-plant operators,833 - Heavy truck and lorry drivers (minor group),8332 - Heavy truck and lorry drivers (unit group),0.99,0.95,0.9,0.85,
25234,J - Information and communication,"62 - Computer programming, consultancy and related activities","620 - Computer programming, consultancy and related activities",6209 - Other information technology and computer service activities,0.9,0.9,0.85,0.75,1 - Managers,12 - Administrative and commercial managers,122 - Sales and marketing managers,1221 - Sales and marketing managers,0.99,0.9,0.95,0.95,
24835,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",64.1 - Monetary intermediation,64.19 - Other monetary intermediation (commercial banking and similar),0.95,0.95,0.9,0.9,2 - Professionals,"26 - Legal, social and cultural professionals",261 - Legal professionals,2611 - Lawyers,0.98,0.95,0.95,0.98,
25253,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles","466 - Wholesale of solid, liquid and gaseous fuels and related products (group)","4663 - Wholesale of solid, liquid and gaseous fuels and related products (class)",0.95,0.92,0.9,0.92,8 - Plant and machine operators and assemblers,83 - Drivers and mobile plant operators,833 - Heavy truck and bus drivers (minor group),8332 - Heavy truck and lorry drivers (unit group),0.95,0.94,0.9,0.88,
25002,"A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities",014 - Animal production,0146 - Raising of poultry,0.98,0.95,0.95,0.9,4 - Clerical support workers,43 - Numerical and material recording clerks,432 - Material-recording and transport clerks,4321 - Stock clerks and assistants,0.95,0.9,0.88,0.85,
25256,F - Construction,42 - Civil engineering,429 - Construction of other civil engineering projects,4290 - Construction of other civil engineering projects,0.95,0.85,0.75,0.7,2 - Professionals,24 - Business and administration professionals,241 - Accounting professionals (including auditors),2411 - Accountants,0.98,0.97,0.95,0.93,
24989,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.98,0.97,0.95,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.97,0.95,0.93,
24732,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores,0729 - Mining of other non-ferrous metal ores,0.99,0.99,0.98,0.95,2 - Professionals,21 - Science and engineering professionals,214 - Engineering professionals,"2146 - Mining engineers, metallurgists and related professionals",0.98,0.97,0.96,0.95,
25332,B - Mining and quarrying,06 - Extraction of crude petroleum and natural gas,06.1 - Extraction of crude petroleum and natural gas,06.10 - Extraction of crude petroleum and natural gas,0.98,0.96,0.95,0.95,2 - Professionals,23 - Teaching professionals,235 - Other teaching professionals,2352 - Vocational education teachers,0.85,0.8,0.75,0.7,
25016,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,451 - Sale of motor vehicles,4510 - Sale of motor vehicles,0.98,0.96,0.95,0.93,5 - Service and sales workers,52 - Sales workers,522 - Shop salespersons and demonstrators (retail salespersons),,0.98,0.95,0.85,0.2,
24796,H - Transportation and storage,52 - Warehousing and support activities for transportation,522 - Support activities for transportation,5220 - Support activities for transportation,0.95,0.88,0.85,0.82,1 - Managers,12 - Business services and administration managers,121 - Business services and administration managers,1212 - Administrative services managers,0.9,0.85,0.8,0.7,
25388,I - Accommodation and food service activities,55 - Accommodation,551 - Accommodation,5510 - Hotels and similar accommodation,0.95,0.95,0.9,0.9,1 - Managers,"14 - Hospitality, retail and other services managers",142 - Retail and wholesale trade managers,1421 - Retail managers (shop/department managers),0.95,0.9,0.85,0.8,
25356,B - Mining and quarrying,07 - Mining of metal ores,,,0.95,0.9,0.2,0.1,2 - Professionals,24 - Business and administration professionals,241 - Business and administration professionals,2411 - Accountants,0.95,0.93,0.9,0.95,
24991,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.99,0.98,0.98,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.98,0.97,0.96,
24525,H - Transportation and storage,51 - Air transport,511 - Passenger air transport,5110 - Passenger air transport,0.97,0.96,0.92,0.9,4 - Clerical support workers,42 - Customer service clerks / Client information workers,422 - Client information clerks,4222 - Travel consultants and clerks,0.9,0.8,0.72,0.6,
24974,F - Construction,43 - Specialized construction activities,433 - Building completion and finishing,4330 - Building completion and finishing,0.95,0.9,0.85,0.75,7 - Craft and related trades workers,71 - Building and related trades workers,712 - Carpenters and joiners,7121 - Carpenters and joiners,0.97,0.92,0.95,0.93,
24138,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores (including gold),,0.99,0.95,0.85,0.3,3 - Technicians and associate professionals,31 - Physical and engineering science technicians,311 - Physical and engineering science technicians (including mining technicians),,0.9,0.85,0.75,0.35,
23398,H - Transportation and storage,51 - Air transport,511 - Passenger air transport,5110 - Passenger air transport,0.95,0.95,0.9,0.85,3 - Technicians and associate professionals,35 - Information and communications technicians,351 - Information and communications technicians,3511 - Information and communications technology operations and user support technicians,0.9,0.9,0.9,0.85,
25393,H - Transportation and storage,52 - Warehousing and support activities for transportation,521 - Warehousing and storage,5210 - Warehousing and storage,0.98,0.95,0.93,0.9,4 - Clerical support workers,43 - Numerical and material recording clerks (material-recording clerks),432 - Material-recording clerks,4321 - Stock clerks and order fillers,0.85,0.9,0.92,0.92,
24186,H - Transportation and storage,49 - Land transport and transport via pipelines,492 - Freight transport by road,4920 - Freight transport by road,0.95,0.95,0.9,0.85,8 - Plant and machine operators and assemblers,83 - Drivers and mobile plant operators,833 - Heavy truck and lorry drivers,8332 - Heavy truck and lorry drivers,0.95,0.92,0.9,0.88,
25309,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.95,0.95,0.9,0.9,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.98,0.98,0.97,0.95,
24582,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores,0729 - Mining of other non‑ferrous metal ores (including gold),0.98,0.97,0.92,0.88,8 - Plant and machine operators and assemblers,81 - Stationary plant and machine operators,811 - Stationary plant and machine operators (mining and mineral processing),8112 - Mineral and metal‑processing plant operators (processing plant operator),0.95,0.9,0.86,0.75,
25121,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,452 - Maintenance and repair of motor vehicles,4520 - Maintenance and repair of motor vehicles,0.98,0.98,0.98,0.97,7 - Craft and related trades workers,"72 - Metal, machinery and related trades workers",723 - Motor vehicle mechanics and repairers,7231 - Motor vehicle mechanics and repairers (including auto electricians),0.95,0.9,0.9,0.85,
